codigo,descricao,ref_grupo,grupo,cod_conta,conta_financeira,unidade
1,Taxa de administração da obra,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
29,Materiais de escritório,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.03,Material de Expediente (Escritório),mes
38,Despesas com confraternizações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.17,Confraternização (Escritório),vb
42,Tarifas bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
113,Envio de documentos - correios,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.02,Correios e Telégrafos (Escritório),vb
166,Software,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.03,Licenças de Uso de Software (Escritório),vb
8444,Fretes,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
8445,Imprevistos e contingências,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
8559,Despesas com campanhas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.02.10,Ações Promocionais,vb
8560,Despesas com comissões,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.07.01,Comissão de Corretagem - Venda unidade,vb
8561,Despesas com corretagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.04,Corretagens,vb
8563,Despesas com premiações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.03.02,Premiações,vb
8568,Alojamento de Colaborador,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.02,Aluguéis (Obra),mes
8671,Passagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),un
8765,Despesas c/ Hoteis,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.04,Despesas com Viagens (Obra),vb
9264,Despesas com convenções,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.03.03,Convenção,vb
9269,Despesas com alimentação (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.01,Alimentação e Produtos - Comercial,vb
9270,Despesas com serviços terceirizados (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
9271,Locação de máquinas e equipamentos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.04,"Locação de Equip.,Máq.,Utensílios,Mob. - Comercial",vb
9272,Locação de utensílios e mobiliários (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.04,"Locação de Equip.,Máq.,Utensílios,Mob. - Comercial",vb
9274,Locação de espaço para stand / plantão de vendas / casa conceito,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.03,Locação de Espaço - Comercial,vb
9278,Pesquisa,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.01.01,Pesquisa,vb
9280,Decoração de datas comemorativas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.03,Decoração Stand,vb
9281,Book arquitetura e design,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.13.17,NÃO USAR - Propaganda e Publicidade (Escritório),vb
9297,Anuidades e mensalidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.08,Anuidades e Mensalidades (Escritório),vb
9298,Despesas com entidades de classe,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.09,Sinduscom (Escritório),vb
9299,Despesas com sindicato patronal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.11,Sindical Patronal (Escritório),mes
9301,Despesas com alimentação (administrativo),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.14,Alimentação e Eventos Externos (Escritório),vb
9302,Doações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.15,Doações e Patrocínios (Escritório),vb
9303,Multas de veículos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.03.01,Multa Veículos (Escritório),vb
9304,Despesas com emplacamento e IPVA,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.03.02,Emplacamento e IPVA (Escritório),vb
9305,Serviço de Copa e Limpeza,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.02,Serviço de Limpeza,vb
9306,Serviço de jardinagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.03,Serviço de Jardinagem,vb
9307,Serviço de manutenções gerais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9308,Serviço de manutenção de saneamento,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9309,Serviço de manutenção de ar-condicionado,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9310,Antecipação de distribuição de lucros,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.08.01,Antecipação de Distribuição de Lucros,vb
9311,Descontos concedidos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.02,Descontos Concedidos,vb
9312,Juros de mora,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.03,Juros de Mora,vb
9313,Despesas bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
9314,Multas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.05,Multas,vb
9315,Variação monetária,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.06,Variação Monetária,vb
9316,Juros bancários,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.07,Juros Bancários,vb
9317,Aplicações financeiras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
9318,Reembolso de despesas financeiras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
9319,Taxa de gerenciamento da obra,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.10.01.01,Taxa de gerenciamento de Obra,vb
9320,Despesas com estoque de unidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.10.02.05,Manutenções em Unidades de Estoques,vb
9623,Medicamentos Emergência,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.05,Taxas e Despesas,vb
9824,Uniformes Profissionais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
9837,Insumos de entrega futura ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.06.01,Adiantamento aos Fornecedores,vb
9850,Colchão Mola,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
9858,Kit cama e banho ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
10094,Alimentação e Eventos Externos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.14,Alimentação e Eventos Externos (Escritório),vb
10153,Gerenciamento e administração de equipe ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.11,Taxa de Administração de Obra  (Obra),mes
10480,"Alugueis, Condomínios e IPTU (escritório)",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.02.04,Aluguéis (Escritório),mes
10501,Locação de sala comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.03,Locação de Espaço - Comercial,mes
10504,Alimentação e eventos internos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.17,Confraternização (Escritório),vb
10718,Locação de endereço fiscal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),mes
10731,Telefonia/Internet,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.01,Internet (Escritório),mes
10982,Serviço de levantamento e cadastro de inventário patrimonial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11049,Despesa comercial (geral),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.01,Alimentação e Produtos - Comercial,vb
11050,Manutenção de maquete,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
11059,Serviço de cadastro de orçamento e desembolso no ERP Sienge,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11207,Outras despesas administrativas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11243,Manutenção de patrimônio,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.12.01,Pagamento de Despesas Administrativas,vb
11267,Equipe de atendimento cliente,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.02.02,"Serviços (Recepção, Promotor) - Cliente",mes
11268,Equipe de vendas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.02.02,"Serviços (Recepção, Promotor) - Cliente",vb
11271,Manutenção da sede comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.09,Manutenção do Stand,vb
11272,Conservação e limpeza da sede comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.09,Manutenção do Stand,vb
11274,Taxa de condomínio,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.10,"Despesas de Consumo (Água, Luz, Telefone) Stand",vb
11275,Despesas com hospedagem de site,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.04.02,Site institucional,vb
11280,Assessoria de Tecnologia da Informação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.05,Assessoria de Informática,mes
11292,Placa de Patrimônio ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),un
11316,Prestação de serviço de assessoria interna - All Resort,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11318,Prestação de serviço de assessoria interna - W All,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.05.01,Serviços Técnico de Terceiros Internos,mes
11320,Prestação de serviço de assessoria interna - All Wert Vendas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11381,Prestação de serviço - Variáveis Comercial ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11521,Seguro Patrimonial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.02.03,Seguros (Escritório),vb
11523,Serviços de Correios/Entregas/Motoboy/Transporte,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.02,Correios e Telégrafos (Escritório),mes
11527,Cópias e Reproduções,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.01,"Cópias, Impressos e Plotagens (Escritório)",vb
11531,Despesas com Anuidade de Conselho Profissional,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.09,Sinduscom (Escritório),ano
11535,Serviço de Dedetização ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
11536,Serviço de Manutenção e Conservação de Móveis e Decoração,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
11539,Serviços de Análise Cadastral,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,mes
11541,Software/Plataformas - Mensalidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.03,Licenças de Uso de Software (Escritório),mes
