codigo,descricao,unidade,grupo_macro,subgrupo
1,Servente,h,01 - Mão de obra,01.001 - Mão de Obra Própria
2,Pedreiro,h,01 - Mão de obra,01.001 - Mão de Obra Própria
3,Carpinteiro,h,01 - Mão de obra,01.001 - Mão de Obra Própria
4,Armador,h,01 - Mão de obra,01.001 - Mão de Obra Própria
5,Pintor,h,01 - Mão de obra,01.001 - Mão de Obra Própria
6,Graniteiro,h,01 - Mão de obra,01.001 - Mão de Obra Própria
7,Colocador de Mármore,h,01 - Mão de obra,01.001 - Mão de Obra Própria
8,Ladrilhista,h,01 - Mão de obra,01.001 - Mão de Obra Própria
9,Engenheiro,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
11,Mestre Geral,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
13,Basalteiro,h,01 - Mão de obra,01.001 - Mão de Obra Própria
19,Motorista,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
22,Vigia,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
25,Encanador de Manutencao,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
28,Operador de Grua,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
33,Tecnico em Edificacoes,mes,01 - Mão de obra,01.001 - Mão de Obra Própria
36,Operador de Betoneira,h,01 - Mão de obra,01.001 - Mão de Obra Própria
37,Profissional,h,01 - Mão de obra,01.001 - Mão de Obra Própria
38,Ajudante,h,01 - Mão de obra,01.001 - Mão de Obra Própria
43,Limpador,h,01 - Mão de obra,01.001 - Mão de Obra Própria
44,Azulejista,h,01 - Mão de obra,01.001 - Mão de Obra Própria
608,Rejuntador,h,01 - Mão de obra,01.001 - Mão de Obra Própria
825,Telhadista,h,01 - Mão de obra,01.001 - Mão de Obra Própria
1007,Montagem Estruturas Concreto Pre-moldado,kg,01 - Mão de obra,01.001 - Mão de Obra Própria
1151,Apontador / Almoxarife,h,01 - Mão de obra,01.001 - Mão de Obra Própria
1152,Cozinheiro,h,01 - Mão de obra,01.001 - Mão de Obra Própria
1153,Encarregado Eletrecista,h,01 - Mão de obra,01.001 - Mão de Obra Própria
1155,Encarregado Hidraulica,h,01 - Mão de obra,01.001 - Mão de Obra Própria
1156,Encarregado Turma,h,01 - Mão de obra,01.001 - Mão de Obra Própria
200,Mao de Obra Pintura Superficie de Quadra Esportiva,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
206,Mao de Obra Execucao de Laje Pre-Fabricada,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
300,Mao de Obra Execucao de Alvenaria Bloco Ceramico,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
301,Mao de Obra Execucao de Alvenaria Bloco Prensil,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
310,Mao de Obra Exec. Alven. Bloco Estrut. Concreto 15,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
311,Mao de Obra Exec. Alven. Bloco Estrut. Concreto 20,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
316,Mao de Obra Exec. Alven. Vedacao Bloco Concreto 7,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
317,Mao de Obra Exec. Alven. Vedacao Bloco Concreto 10,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
318,Mao de Obra Exec. Alven. Vedacao Bloco Concreto 12,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
319,Mao de Obra Exec. Alven. Vedacao Bloco Concreto 15,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
320,Mao de Obra Exec. Alven. Vedacao Bloco Concreto 20,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
322,Mao de Obra Execucao Alvenaria Tijolo Comum e=10cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
323,Mao de Obra Execucao Alvenaria Tijolo Comum e=20cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
324,Mao de Obra Execucao Alvenaria Tijolo Furado 10cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
325,Mao de Obra Execucao Alvenaria Tijolo Furado 20cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
326,Mao de Obra Colocacao Elemento Vazado,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
327,Mao de Obra Execucao Alvenaria Tijolo Furado 18cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
328,Mao de Obra Execucao Alvenaria Tijolo Furado 12cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
329,Mao de Obra Execucao Alvenaria Tijolo Laminado 11,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
330,Mao de Obra Execucao Alvenaria Bloco 15cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
331,Mao de Obra Execucao Alvenaria Bloco 10cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
333,Mao de Obra Execucao Alvenaria Tijolo Comum e=15cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
334,Mao de Obra Execucao Alvenaria Tijolo Comum,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
335,Mao de Obra Execucao Alvenaria Tijolo Furado 15cm,m2,01 - Mão de obra,01.002 - Mão de obra de Terceiros
