codigo,descricao
2.01.01.01,Aquisição de Terrenos
2.01.01.04,Corretagens
2.01.01.05,IPTU/ITR
2.01.01.06,Manutenção na Área
2.01.01.08,Topografia (Pré Obra)
2.01.01.09,Outorgas Onerosas
2.01.01.10,Sondagens (Pré Obra)
2.01.01.11,ITBI
2.01.01.99,(-) Anulação de Custos
2.01.02.01,Projetos Civis
2.01.02.01.02,Projetos de Urbanização
2.01.02.01.03,Projetos de Infraestrutura
2.01.02.03.01,Aprovação - Serviços e Taxas
2.01.02.03.02,Licença Ambiental
2.01.02.03.03,Alvará de Construção
2.01.02.03.05,APP
2.01.02.03.06,Contrapartidas Ambientais
2.01.02.04.01,Estudos e Projetos Ambientais
2.01.02.04.02,Sondagem de Solo
2.01.02.04.03,Estudos e Viabilidades
2.01.02.04.04,Estudos Geológicos
2.01.02.04.05,Estudo Impacto de Vizinhança - EIV
2.01.02.05.01,Certificações
2.01.02.05.02,Estudos e Projetos para Certificações
2.01.03.01,Cartório e Registro
2.01.03.02,(NÃO USAR) ITBI
2.01.03.03,Editais
2.01.03.04,Solo Criado
2.01.03.05,Taxas e Despesas
2.01.03.07,Contrapartidas de Incorporação
2.01.03.08,Publicações
2.01.03.09,Assessoria Jurídica para Incorporação
2.01.04.01.01,Salarios e Ordenados
2.01.04.01.02,Férias
2.01.04.01.03,Rescisões
2.01.04.01.04,Décimo Terceiro Salário
2.01.04.01.05,Multa FGTS
2.01.04.01.06,Estagiário(a)
2.01.04.01.07,Encargos Sociais INSS
2.01.04.01.08,Encargos Sociais FGTS
2.01.04.01.09,Encargos Sociais IRRF
2.01.04.01.99,(-) Anulação de Custos Mão de Obra
2.01.04.02.01,Vale Transporte
2.01.04.02.02,Vale Alimentação
2.01.04.02.03,Seguro de Vida
2.01.04.02.04,Plano de Saúde
2.01.04.02.05,Medicina e Segurança do Trabalho
2.01.04.02.06,PPR - Plano de Participação de Resultados
2.01.04.02.07,Gratificação / Bônus
2.01.04.02.99,(-) Benefícios
2.01.04.03.01,Cursos e Treinamentos
2.01.04.03.02,Incentivo a formação
2.01.04.03.99,(-) Treinamentos
2.01.04.04.01,(-) Retenção Contribuição Sindical (OBRA)
2.01.04.04.02,Pagamento Contribuição Sindical (OBRA)
2.01.05.01,Serviços Técnico de Terceiros Internos
2.01.05.02,Gratificação / Bônus Internos
2.01.06.01,Serviços de Terceiros
2.01.06.02,Empreitada de Mão de Obra Terceiros
2.01.06.03,Locação de Máquinas e Equipamentos
