ref,descricao,tipo
17,Bem Imóvel,Equipamento
14,Combustíveis e Lubrificantes,Combustíveis e Lubrificantes
20,Comissão,Outros
16,"Computadores, Periféricos de informática, Aparelho Celular",Equipamento
13,Despesas com Seguros,Outros
12,Equipamentos de Segurança,Material de Consumo
21,Licença de Operação,Outros
18,Manutenção,Material de Manutenção
2,Materiais,Material de Consumo
19,"Mobiliários, Elétricos e Utensílios",Equipamento
4,"Máquinas, Equipamentos e Ferramentas",Equipamento
1,Mão de Obra,Mão de Obra
6,"Terreno, Despesas Administrativas e Custos Indiretos",Outros
15,Veículos,Equipamento
